;text
213;Подскажите сколько серий данной игры существует и какие можно смешивать
214;Снова всем привет, сегодня тестили с друзьями 3ю часть и столкнулись с такими нюансами, что есть карты, где указано положи на вверх колоды заклинаний, возьми с колоды заклинаний на руку, или возьми из колоды закл. и добавь в свое заклинание, а есть просто возьми с колоды...и куда? добавить к заклинанию или в руку ? И просто возьми 1 , как указано в сокровищах, и откуда брать не уточняется ... с колоды или с руки ?
215;Всем привет, такой момент, читал правила 3й части (почему-то во 2й не обратил внимание) и пишется про ситуацию, когда кто-то открывает неправильное заклинание (например наворот и два прихода), то он обязан убрать лишнию в сброс, чтобы заклинание было правильным, но если он уже сыграл неправильное заклинание, то лишние забираешь на руку и пишется, что до определения хода... но разве ход не определяется до того как ты можешь сыграть заклинание? В 1й части например сказано только про открытие заклинания и сброс...
216;"Вопрос
Если в заклинании в навороте карта, которая даёт право ходить первым, но имеется в приходе шальная магия ( имеющая инициативу 0) будет ли игрок ходить первым или все таки нет?"
217;"У кого выпало тоже, что и  на одном или нескольких твоих кубиках, получают урон...
Например выпало 1 и 2, то есть враги получают урон если выпадает у них 1 или 2? А как понять на нескольких кубиках, это не значит что нужно сложить первый и второй и получится, что враги получат урон если выпадет 1,2 и 3???"
218;Если в условии карты говорится, что враг должен сбросить карту наворота из своего заклинания, но, у врага карта наворота лежит шальная магия, должен ли враг сбрасывать шальную магию? И не брать карту наворота?
219;"Добрый день. Возник вопрос по игре ""крутагидрон"". Если в карте написано ""возьми карту"", то надо карту взять из своей колоды или из общей колоды?"
220;Здравствуйте возникли вопросы по игре, считаешься ли ты сам себе врагом ? Если да то в каких случаях можно узнать желательно в подробнастях, и следующий вопрос по сокровища они одноразовые или как ?
221;"Добрый вечер, 
Возник вопрос по Крутогедону.
Если человек собрал 2 карты ""драконьи яйца"", каждая карта даёт по 5 очков или в сумме обе карты дают 5 очков?"
222;Добрый день. Играю в игру крутогедон, очень нравится. Хочу как-то найти 3 планшета на недостающих колдунов, так как у меня нет предыдущих частей. Есть ли у кого оцифровка или может кто знает где достать? Нашел пока что только озорного щекотунчика.
223;Доброго времени суток, не могу понять зачем существует гребучий гриб  в месиве на гребучем болоте, рулбук молчит(по крайней мере не нашли с ним правила)
224;Куда мне настольные игры класть.
225;Делитесь своей коллекцией
226;"Всем салют, очень понравилась настолка, но есть вопрос, для чего нужны заклинания добирающие карты в руку, если в конце раунда все пополняют руку до 8 карт?
Оправдали добор только взятием колдунства, но этого маловато, так как колдунство присуще только одному дополнению.
И еще кто как решал вопрос с очередностью взятия карт в конце раунда, это важно, например при использовании заклинаний которые кладут  карту в колоду заклинаний."
227;"Всем привет. Подскажите, пожалуйста, порядок всех частей (по названиям, какая часть как называется).
И какую посоветуете купить🤔"
228;С основной колоды или со своей?
229;Здравствуйте, после того когда игрок погибает и начинается новый раунд другой игрой который не умирал восстанавливается до 20 жизней или нет?
230;Ребят какие протекторы для магов покупать?
231;Враг должен показать все свои карты или тварь должна быть выложена? Тварь берётся на руку или в игру? Если я выбрал врага, а у него не оказалось тварей, выбираю другого?
232;Ребят помогите, что это значит, ты выбываешь из игры до конца, или это просто карта ничего не делает?
233;Есть все 4 части, хотим играть в 6-ом, совмещая все части, решили, что замок будет давать и защиту от зпмп и литры крови в конце раунда, кто-то так уже играл? Может есть какие-то нюансы или противоречия, которые мы не учитываем?
234;Где можно узнать подробнее про разработку игры, и в каких годах какую часть выпустили?
235;Еще такой вопрос, в правилах пишется, что я могу защититься от групповой атаки, в данном случае, я защищаюсь от того, чтобы не кидать свою карту в сброс врагу или же от урона его карты, что он мне положил в сброс?
236;Всем привет, купил недавно 5ю часть, Крутогидон, и хотел бы узнать: 1) у всех ли неполное название карты или только у меня, кто знает как полностью будет звучать? 2) избежал, в плане отсутствует карта стоимостью 5 и больше или же защитился , но если пишет, что урон перенаправляется на врага?
237;"Кто может подсказать по этой карте ?
Если вылечиваешь 2 зпмп, то 10 жизней накручиваешь ? Или так же 5?"
238;Как соединить две колоды разных частей настольной игры эпические схватки боевых магов?
239;Добрый день. Хочу приобрести одну из версий игры. С какой лучше начать? В интернете особо нет подразделений на 1,2,3,4 части и не могу понять в чем их разница. Разъясните пожалуйста.
240;Подскажите пожалуйста по 4 части игры. 1  в картах указано забрать зпмп из мешонки, одно передай, могу ли я выбрать и забрать себе то, которое выбрала или же рандомно отдать любое из них. 2 передай зпмп, Кто выбирает какое передавать? Кто  кастует заклинание ? У кого забираю зпмп? Или без выбора тяну любую? 3 тоже самое, я могу выбрать зпмп, которое мне больше нравится или же хозяин сам отдает зпмп на его выбор ?
241;При смерти надо брать 1 карту мёртвого мага ведь?
242;"Что означает ачает когда на приходе выподает значение стоять, желательно поподробнее? 
(версия настолки на болоте что-то там)"
243;Народ, есть эта игра онлайн, кто подскажет ссылочку на игру?
244;Что значит закрытые перед ним карты? Типо нанесити 1 урон за каждую закрытую карту перед ним, как это работает?
245;Подскажите пожалуйста,что значит нанести один кубик урона?
246;Когда играть только что полученное сокровище, когда играть тварь, которую отжал у другого игрока?
247;"Всем доброго времени суток. Есть несколько (много) вопросов по Крутагидону. Буду крайне признателен, если поможете разобраться:
- Сколько атак можно отразить? Столько, сколько есть карт защиты на руке? 
- Надмозг - Атака: выбранный враг сбрасывает 1 карту со стоимостью 5 или больше. Если он этого избегает, то отхватывает 5 урона. -
Что подходит по условие ""Избегает""? Если нет карты на руке со стоимостью 5 или больше, это считается, что противник избежал атаки и можно нанести 5 урона? Или под ""избежал"" считается только когда была использована карта защиты? 
И враз сбрасывает карту к себе в сброс или в колоду уничтоженных карт? 
- Генитальные гарпии - Атака: нанеси 2 урона каждому врагу за каждую вялую палочку под твоим контролем и в твоей стопке сброса. Если атака не нанесла урона, возьми 1 карту. -
Что значит не нанесла урона? Здесь как в случае с ""Избежал""? Если у меня нет вялых палочек, то беру карты из основной колоды? 
- Золотая немолодеж - Постоянка: в начале каждого хода накручивай 1 жизнь за каждую постоянку под твоим контролем. - 
За постоянку помимо Золотой немолодежи или она тоже учитывается? 
- Гнойный трепанатор - Атака: каждый враг сбрасывает 1 карту. -
Сбрасывает на свое усмотрение? И сбрасывает в свою стопку сброса или уничтоженных карт? 
- Некромантика - Атака: выбери ЖДК под контролем выбранного врага, поменяйся с врагом жетонами дохлых колдунов, затем примени свойства обоих жетонов. - 
На ком применять свойства? Только на враге? 
- Драконьи яйца - Постоянка-защита: когда карта находится в игре, можешь ее сбросить, чтобы избежать атаки. Если сбросил, возьми одну карту. Если у тебя обе карты яиц, эта карта приносит 5 ПО. -
Постоянка-защита - это как? Я не могу же ее выложить перед собой? 
- Блеватико - Возьми 1 карту. Каждый раз, когда получаешь или покупаешь карту во время этого хода, разыгрывай атаку: наноси выбранному врагу столько урона, какова стоимость полученной карты. - Если я каждый раз беру карту как написано в начале, то получается в любом случае выполняю атаку? 
- Билли Адиш - Если это первая карта, которую ты сыграл во время этого хода, сбрось все карты и возьми 4 карты. -
Взять из общей колоды и положить в руку или свой сброс? И сбросить 4 карты в свою стопку или в стопку уничтоженных? 
- Кровавый банщик - Атака: выбранный враг раскрывает все карты на руке и отхватывает столько урона, какова стоимость самой дорогой карты из раскрытых. - 
Карты сбрасывает потом или обратно в руку? 
- Гора черепламени - Постоянка: когда ты первый раз за ход разыгрываешь волшебника, бери 1 карту. - 
Если у меня на руке 2 карты волшебников, то свойство срабатывает, как только я положу одну из них? Если кладу второго волшебника, то уже не беру карту?"
248;Подскажите, на двоих вообще интересно играть и сильно ли отличается механика игры? Какие нюансы есть в связи с этим, или на счёт этого вопроса есть инфа в правилах, заранее спасибо за ответ.
249;Что если у меня уже есть захваченный замок?
250;"Добрый день,подскажите пожалуйста, играем в игру вдвоем, и один из нас остается без жизней (колдун умирает), после этого берется карта дохлого колдуна. сбрасываются карты с руки и сокровища только у мертвого или у обоих игроков?
И второй вопрос, если у одного игрока нет нет жизней, как убить дохлого колдуна ?"
251;"Добрый день. Не играл ни в одну из частей. Хочу взять Крутагидон.
Она более интересная по механике чем предыдущие и увлекательнее?"
252;Как сыграть эту карту? 🤔 У меня если в руке 3 карты (уже одинаковых. Например порчы)
253;Как сыграть эту карту? (какие карты одинаковые? Кроме шальная магия)
254;"Всем привет! Накопилось вопросов:
1) ""От Шлюхопряда"", как быть если у всех выпало 6ки. У меня 5 + 1 к результату. Перебрасываем кубики или как быть, заражаемся ЗПМП или нет.
2) ""От Отсос-они"". У врага есть сокровище ""печать главного засранца"". Я могу забрать это сокровище себе?
3) ""Гостинцевый"". Если у меня нет на руке прихода, могу ли я добавить шальную магию и потом с колоды заменить ее на приход?
4) ""Фейханальный"". Могу ли я сбросить шальную магию, что бы накрутить жизнь?"
255;что работает раньше сокровище на накрутку жизней(золото дураков) или заклинание на урон ?
256;Добрый день. Возник вопрос по свойствам в игре Крутагидон. В конце своего хода возьми дополнительную карту за каждого волшебника, которого ты купил или получил на этом ходу. Вопрос. за купленных волшебников понятно, а вот о каких волшебниках речь, которых я получил? Имеется ввиду за каждого волшебника которого я получил в свой ход разыгрывая например карты - возьми карты из колоды, сброса, или колод соперника по шальной магии? Или как? Кто уже сталкивался с этой дилеммой?
257;О да , приветствую тех кто ещё не убил своих друзей , во время споров о правилах игры ....
258;"Привет. Возник спор по новой части игры (крутагидон)
В правилах сказано, что свой сброс мы держим в открытую, но может ли противник взять мою колоду сброса и просматривать её полностью? Или только карту сверху?
Вопрос принципиальный, тк нужно посчитать очки, а запоминать у кого сколько, когда играет 5 человек, довольно проблемно)"
259;"Много интересной информации о 5 части основной игры и о втором Крутогидоне

https://youtu.be/wcVS123I9ZM"
260;Ребят, что-то странное, заметил только что. Купил Бесчинство в замке Спрутобойни, а на рубашке карт написано Битва на горе Черепламени. Так и должно быть или что-то где-то напутали?
261;"Добрый день!
Помогите решить вопрос по игре,не нашли в правилах рекомендаций на этот счет.
Ситуация: игрок разыгрывает Академика Мухожука,который добавляет к заклинанию карту с верха колоды заклинаний.Верхней картой в колоде оказывается Шальная магия.
Что делать в этой ситуации?"
262;Когда удача сегодня повернулась к тебе чем надо. Красивой филейной частью.
263;Таакс. Если я не хочу отдавать свою тварину, и я уже сходил, а аппонент кастонул этот попкорновый наворот , то я же могу послать его лесом и не отдавать тварь?
264;Кто-нибудь уже приобрёл, играл в Крутагидон (ну и перевод, конечно)?
265;Ребят,есть кто продаёт эту настолку,куплю
266;Всем привет. Игра переполох в хоромах страсти,зпмп трындецит скидывается но все равно считается заражённым. Что это означает?
267;Ребята подскажите пожалуйста, что значит за каждую закрытую карту перед ним?
268;"День добрый, а есть пдф файл правил для боевых магов сразу со всеми дополнениями?
Чтобы была одна книжка, а не 4)"
269;"Добрый день.
Подскажите плиз, какая часть самая интересная и при этом не самая сложная ?) 
Битва на горе Черепламени?
Бесчинства в замке Спрутобойни?
Мессиво на гребучем болоте?
Переполох в хоромах страсти?

Играть будем первый раз, но хочется самую интересную часть сразу приобрести))"
270;"Как разыгрывается эфект нескольких тварей? Допустим у меня в заклинании 2 твари разыгранные на этом ходу.
Их эффекты будут считаться одним могучим броском, или для каждой твари отдельно делать броски?"
271;"Спор вышел с товарищем по этой карте. Подскажите: кто кому тут накручивает жизни в 1-ом пункте (тому кто это заклинание кастанул или жертве)? 

Кто кому накрутит жизни в 3-ем пункте?"
272;"Скоро наступит Аннигиладон!
А нет, не совсем)
https://vk.com/wall-10077862_127187"
273;Народ, подскажите по поводу такого рода карт, текст с колдунством. Что значит можно добавить эту карту? Т.е. я могу оставить ее на руке, но в любой момент или в начале открывания заклинания скинуть 2 прихода с руки и выложить ее к заклинанию?
274;"Это реклама извините :(
В общем я сделал свою версию магов для Table Top Simulator, это симулятор стола где все играют в настолки. В мою версию входят все дополнения на полностью русском языке.
ВАЖНО - это не просто перенесенная игра, в ней скорректированы правила, добавлено множество новых механик и 90% карт переработаны.
Я буду регулярно обновлять игру.
Если вам интересно, можете перейти в мою группу вк посвященную этой версии - https://vk.com/epicspellwarsofbattlewizards
Задавайте любые вопросы на всё отвечу
Ещё раз прошу прощения"
275;Скажите я же вылечу свои жизни столько же сколько мне нанесли урона или от зпмп зависит?
276;Какую часть настолки посоветуете?
277;Здравствуйте. Подскажите, что значит 1  урон за каждый уникальный знак в твоём заклинании?
278;народ, все 4 версии одинаково интересны? или есть прям лидеры?
279;Обалденно :)
280;А что мне даёт эта инициатива?
281;Скажите, пожалуйста. можно ли играть больше, чем 6 игроками? Например, соединив 2-3 части вместе. Или они все отдельно играются? И если возможно, то какие части лучше совмещать?
282;Кто знает когда выйдет переведённая на русский пятая часть?
283;Хотел уточнить, я захватываю замок каждый раз, когда новый бой (если у меня его отжали до этого), или только, когда вытянул сокровище?
284;"Ребята решил купить настолную игру что бы играть компанией , что то трэшовое и угарное , динамичное .
Выбор остановился на Магах , скажите какую версию игры стоит купить самую первую💣💣💣😆
Заранее спасибо)"
285;"Эпичные схватки боевых магов: Переполох в Хоромах страсти 
С какой игрой (частью , желательно название ) можно совместить из всех частей?"
286;"Добрый день! У меня вопрос по ""Грибучему болоту"" Боевых магов: как считать уникальные знаки в заклинаниях? Интуитивно, вроде, понятно, но в правилах есть пример, который абсолютно сбивает с толку: составлено заклинание из ""Трава"", ""Трава"", ""Мрак-Порча"" и написано, что тут нет 4 уникальных знаков, но потом с помощью колдунства добавляется еще одна карта со знаком ""Мрак"" и утверждается, что в заклинании стало 4 уникальных знака. Почему так? Т.е. уникальный знак - это просто знак на карте? А поскольку каждая карта заклинания имеет знак/знаки, то в таком случае количество уникальных знаков зависит просто от количества карт в заклинании (+бонусы от дохлых колдунов и т.п.)? Тогда получается легко нанести большой урон, наносимый за каждый уникальный знак в заклинании."
287;"Здраствуйте. Вот играем с друзьями и проблемы с сокровищами. Мы не понимаем, они работают на владельца или на других. 
Если на владельца, то это скорее проклятие, чем сокровище. Все верно? Или же можно использовать в определенный момент использовать, а не постоянно? И что означает переброс? Как он работает в проверке силы? Она работает от карт ""Перебросьте куб во время проверки силы""?
Заранее спасибо."
288;Скажите пожалуйста, при смерти, когда играешь вдвоем, если один игрок умирает, что становится с жизнями? Так и останется 0 и потом пытаться зарабатывать жизни, или все таки здоровье прибавляется в следующем раунде?
289;Где можно купить промо карты заклинаний/персонажей/сокровищ?
290;"Что значит ""закрытые карты""?"
291;Трындецит как работает кто в курсе? Наносит урон и убирается в мешонку и заразность остается?
292;"Доброй ночи такой вопрос
Все игроки прибавляют 1 за каждый уникальный знак
Или только тот кто кастует"
293;Народ, есть у кого сканы героев из первой части?
294;"Всем привет. Может кто-то отдает/продает карточки тварей? С великим удовольствием преобрела бы. Покупать целую игру для этого не хочется, а в первой части нет крови и тварей. Это намного более скучно :)
В общем, дайте знать, плиз!"
295;Всем привет, хотел спросить за это сокровище, тут имеется ввиду , что любое число , что выпало можно перекинуть, не зависимо от кол-ва кубиков?
296;В коробке с игрой должны быть две одинаковые пачки карт?
297;"Народ, 5 часть отдельная?
Или тоже совместимая?"
298;"Аннигаладон вышел.Стоит он 40$(2568 рублей)
Так-же создатели сделали специальную экслюзивную фигурку за 66$(4237 рублей)
P.S Создатели выпустят набор в честь выхода игры который будут продавать за 20$ организаторам всяких конкурсов и турниров(есть шанс что хобби ворлд раздобудет)"
299;Добрый день. С какой части лучше начинать покупку данной игры? Планирую в подарок.
300;"Всех приветствую.
Есть первая часть, которая битва на горе черепламени. Хотим докупить к ней еще одну. Какую посоветуете?"
301;"СПб 
 
Продаю КОРОБКИ от 1-3 частей Эпичных Схваток Боевых Магов. Вдруг кому-то нужны, у меня все 4 части в коробку от 4-ой части поместились. 
Цена договорная."
302;"Здравствуйте, у меня к вам вопрос, подарили вчера настольную игру ""Эпичные схватки боевых магов: Месиво на грибучем болоте"". Мы так и не разобрались как правильно использовать карту ""Попкорновый"". 
Вот смотрите, расклад такой: 
1. Первым ходит мой враг (игра один на один). 
2. Использует заклинание ""Попкорновый"". 
3. Тварей у меня нет. 
4. Передо мной лежат 3 карты моего заклинания, рубашкой вверх (закрытую)[черной стороной]. (заклинание состоит из ""заводилы"", ""новорота"" и ""прихода"") 
5. И к примеру, на руках из 5 оставшихся у меня карт осталось 2 ""новорота"", 2 ""заводилы"" и 1 ""приход"" 
6. Карта нам гласит: 
""Враг по твоему выбору(это я, ибо игра 1на1) может отдать тебе 1 свою тварь, находящуюся в игре(тварей у меня нет). Если он этого не сделает, то должен сбросить всех закрытых ""заводил"" и все закрытые ""новороты"" из своего заклинания."" 
7. То есть я должен скинуть, заводил и навороты: 
a) 2 карты из своего заклинания. 

или 

б) 4 карты оставшихся у меня 2 ""новорота"" и 2 ""заводилы"" 

По большей части встал такой вопрос если вариант: 
а) то почему там написано ВСЕХ закрытых ""заводил"" и ВСЕ закрытые ""новороты"", когда в заклинании всего может быть один ""новорот"" и один ""заводила"" при начале хода. 

а если вариант: 

б) то тут все ясно. 

Помогите пожалуйста, если вариант а) то уточните почему там написано ВСЕ и если ВСЕ то это какие карты) 
Заранее спасибо!"
303;Поясните за нежданчик, в правилах очень скомкано и поверхностно описано, скидывает ли игрок все карты когда сработал нежданчик или он скидывает только его, а если он его скидывает и у него теперь заклинание из двух карт состоит начинает ли он ходить раньше и т.д .?
304;ребзи какую часть лучше брать 2 или 4? я так понимаю все части являются самостоятельными играми?
305;"Внутренности Анигилядонна(+постер на сайте издателя)
P.S Нашёл превью игры"
306;Хотел спросить , никто не знает почему тут изображен такой приход, хотя в игре его нет,или только у меня его нет?
307;Такой вопрос (Бесчинство в замке спрутобойни) - если на карте твари нет команды стоять остается ли она в игре, или сбрасывается?
308;Посоветуйте какую версию купить? Куплю только одну, дополнять потом не планирую.
309;Приветствую. есть в Москве где поиграть или с кем Эпичные схватки боевых магов?)
310;"Вопрос по сокровищам и дохлым колдунам:
Сокровища - Когда их использовать? Допустим, в карте моего заклинания написано взять карту сокровища. Я её беру. А дальше? Я могу ее хранить при себе и использовать, когда захочу? Или я должен применить ее действие сразу, как достал?
И еще на некоторых сокровищах есть особый знак. Этот знак будет считаться частью моего заклинания только после того, как я применю действие сокровища? И по поводу их использования. Когда я использую сокровище, оно отправляется в стопку сброса?
ДК - Вообще не очень понимаю как они работают. Вот в карте моего заклинания написано взять карту дохлого колдуна (а я еще жив, соответственно). И что с ней делать? Припрятать и ждать, пока я подохну? 
А теперь вообще про их действие. Вот, я умираю, и беру карту дохлого колдуна... иии, что дальше? (Игра на двоих)"
311;Как использовать данные карты?
312;"Куда взять карту? А так же есть обычные карты в которых написано ""возьмите карту"" но не написано куда, как понять?"
313;Здравствуйте! Подскажите пожалуйста. Как действует карта шальная магия, если у меня на руках есть наворот, приход и заводил. Я могу вместо любой карты её поставить?
314;Кто-нибудь продает б/у версию Бесчинство в замке Спрутобойни ? (ну или на крайняк любую другую, кроме болота)
315;Я правильно понял, что все части можно комбинировать?
316;Какие карты считаются закрытыми? Это те что на руке?
317;"День добрый, а подскажите как пользоваться картами дохлых колдунов при игре вдвоем? 
И вообще на двоих есть ли какие-нибудь особенности?"
318;Есть в москве кто играет на постоянной основе? Мы с женой уже устали друг друга убивать, готовы бросить вызов и сразиться с опытными игроками или научить новичков для игры на постоянной основе, у самих 3я редакция
319;Напишите пожалуйста как называется первая часть,втора,третья,четвертая...
320;Только приобрел игру (1 часть) и возник вопрос по геймплею. А именно: 1) Карта дохлого мага. Она берется каждым магом, кто хоть раз умер в процессе игры, активируется в конце раунда и берется новая каждый раунд такими магами в последствии?, 2) Если маг с поздней инициативой умер в результате каста других магов до своей очереди - будет ли он кастовать выложенное свое заклинание?
321;"Урааа все 4 части 
Ждем 5 часть"
322;Народ купил игру , я новичок , не вдупляю в мелочи совсем , есть может где нормальный разбор игры? Видео наприимер
323;В Питере есть места, где играют в боевых магов? Не только с друзьями, но и, например, устраивают турнир и т.д.?
324;Ну что ждём зиму для перевода🌚🌚🌚(Сама игра выйдет либо в конце лето либо в начале-середине осени)
325;со вчерашнего дня в магазине  хобби геймс в питере на пл восстания есть 4 часть, при покупке любой части можно промо карты у них попросить
326;"Интересно будет ли 5 часть?
Уже ждём не дождёмся новинки, можно ли оформить предзаказ? И в каких магазинах начинается продажа?"
327;"~14го марта в магазинах HobbyGames на полках появится 4ая часть.
P.s. инфа от продавца"
328;"Понеслась, ребята!
https://vk.com/wall-10077862_84353"
329;
330;ребят а сколько рустифицированых коробок?
331;"Всем привет! У нас отличные новости - каждую последнюю пятницу месяца приглашаем Вас на турниры по настольным играм. Итак, турнир октября по Эпичным Схваткам Боевых Магов 🎲 
 
📅 Когда? 
26 октября, пятница - 18:00 
 
📌 Где? 
Антикафе Зеленая Дверь 
Оплата по тарифу антикафе 
 
👑 Приз победителя: 
Коробочка эпичных схваток боевых магов: месиво на грибучем болоте 
 
📍Что надо сделать, чтобы принять участие? 
Быть участником нашей группы, записаться на турнир, подробности https://vk.com/tablemoscow?w=wall-130720072_522 
 
#НастольнаяМосква #НастольныеИгры #ЗеленаяДверь #Greendoor #ИнтересноеМосква #ЧемЗаняться #Осень2018 #October #New #Турнир"
332;Подскажите, очень интересно я заказал 2 из уже выпущенных игр, одна была уже давно (Эпичных магов) можно ли комбинировать их все 3 в одну игру и чем это грозит?
333;"Подскажите пожалуйста. Играем вдвоем. У одного выпала карта, жертвой которой должен стать ""враг сильнее тебя"", а у второго ""самый хилый враг"".
Так как для первого второй оказался хилее, то он не смог прокастовать по нему. А может ли второй, со своей миханикой бить первого, если тот сильнее? Как вообще трактовать эти механики?"
334;"Если посмотреть на даты выхода оригинальной третьей части и российской локализации, 4 часть должна выйти где-то в апреле
-----------
P.S. Кто-нить знает где сейчас можно достать промо-карты?"
335;Ну шо...английская версия по сути уже вышла, ждём русификации...
336;Объясните  пожалуйста карту экзорцизм. Урон наносится и мне и противникам или мне только при от 1 до 4 х?
337;Начало игры. Начинаю первым с такими картами. Заклинание сбрасывается т.к. нет самого живучего врага, или отхватывают все?
338;Что значит?
339;"https://vk.com/public167855415

Ребята из Санкт-Петербурга!

Давайте встретимся и поиграем!"
340;Анонсировали новую часть.Выход буржуйской локализации в 3 квартале 2018.
341;На коробке написано, что игра рассчитана на количество игроков не более шести, но нас часто собирается больше. Если приобрести две-три версии игры, то можно ли быдет сыграть на девять человек? Какие будут неудобства? У кого есть опыт таких игр?
342;
343;Подскажите, пожалуйста, когда бой идёт среди выживших двух игроков и при выпадание 10+ на кубиках, то сколько урона наносят противнику? 4 или ещё дополнительно 2, потому что он единственный враг и как хилый, и как живучий?
344;Здравствуйте, может кто знает, где можно купить колоду заклинаний отдельно от игры или у кого лишняя есть. Буду признательна за помощь.
345;"Пердорыцарь. 
Слей 2 литра крови: Можешь по отдельности (и к разным врагам) Применить результаты кубиков, брошенных в могучем броске. 
Жертва: враг по выбору. 
Могучий бросок: 
1-4 1 урон. СТОЯТЬ! 
5-9 2 урона. 
10+ 4 урона 
 
Если я использовал 2 крови и выбросил 12 на кубиках. Какой урон я смогу сделать врагу?"
346;
347;Правила игры на русском языке
348;
