;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf
30183;2022-04-18;Необходимо восстановить штукатурный слой на внутридомовой стене дома Лиговский, 117 после пожара в августе 2021.;Благоустройство;Центральный;Лиговский пр-т 117;ПОС;1
30184;2022-04-18;Был в приморском районе на этой точке сегодня 59.983409, 30.221385 https://yandex.ru/maps/-/CCUFQLqP3A Канава вся завалена мусором. Похоже что никто не следит за территорией, очень печально рядом красивый выид на залив и новый ЖК.;Отходы;Приморский;Приморский 137к1;ПОС;1
30185;2022-04-18;Необходимо убрать мусор во Дворе дома Лиговский 117;Отходы;Центральный;Лиговский пр-т 117;ПОС;1
30186;2022-04-18;Необходимо закрасить граффити на внутридворовой стене дома;Благоустройство;Центральный;Лиговский пр-т 117;ПОС;1
30187;2022-04-18;Необходимо отмыть стены и трубы внутри двора дома Конная, 18 от птичьего помёта: фасад дома недавно отремонтирован;Благоустройство;Центральный;Конная ул 18;ПОС;1
30192;2022-04-18;"Ежедневная торговля у метро.

Прошу пресечь торговлю.";Безопасность;Калининский;;ПОС;1
30193;2022-04-18;Установлены ЛАРЬКИ на ГАЗОНАХ по адресам г СПб ул. Уточкина д1, д2, д5. При этом вырублены кусты и снесены декоративные ограждения! Прошу разобраться и принять меры! Спасибо.;Безопасность;Приморский;;ПОС;1
30194;2022-04-18;Установлена торговая точка, скорее всего незаконно,;Безопасность;Приморский;;ПОС;1
30195;2022-04-18;Просьба провести проверку торгового ларька на тротуаре на ул. Мира (напротив дома 7) на законность торговли . Загородили весь проход, мешают движению пешеходов.;Безопасность;Петроградский;;ПОС;1
30196;2022-04-18;Несанкционированная торговля выпечкой с Газели;Безопасность;Невский;;ПОС;1
30197;2022-04-18;"На данном месте стоит типо ларька, там летом до осени идёт продажа фруктов и овощей
Я писала обращение, с просьбой убрать этот объект
Прислали фото и ответ - объект демонтирован
Фото сделано совсем в другом месте скоро лето, начнётся не законная торговля таджиками/узбеками, заняты по прежнему 2 официальных парковочных места перед магазином магрит";Безопасность;Пушкинский;Шушары;ПОС;1
30198;2022-04-18;Уберите незаконный НТО;Безопасность;Московский;Пулковская ул;ПОС;1
30199;2022-04-18;Вы ответили что НТО убран ,но он прекрасно торгует;Безопасность;Московский;Пулковская ул;ПОС;1
30200;2022-04-18;Долго НТО отсутствовал  , но вот он снова на месте и успешно работает;Безопасность;Московский;Звездная ул;ПОС;1
30201;2022-04-18;Торговля  гнилыми фруктами со стола;Безопасность;Московский;Пулковская ул;ПОС;1
30202;2022-04-18;Уберите торговлю со столов Овощи перебирают за метро в помойке;Безопасность;Московский;Пулковская ул;ПОС;1
30203;2022-04-18;Необходимо очистить улицу от незаконной торговли при выходе со станции метро Нарвская;Безопасность;Московский;Пулковская ул;ПОС;1
30204;2022-04-18;"Прошу проверить законность установки палаток 
Заявление прошу направить в ККИ";Безопасность;Невский;;ПОС;1
30205;2022-04-18;"Нелегальный НТО свежая выпечка как стоял так и продолжает стоять- нужно эвакуировать;  когда будет проведено внутреннее расследование: кто из сотрудников предупреждает торговцев о рейдах ?";Безопасность;Невский;;ПОС;1
30206;2022-04-18;"Нелегальный НТО свежая выпечка как стоял так и продолжает стоять- нужно эвакуировать;  когда будет проведено внутреннее расследование: кто из сотрудников предупреждает торговцев о рейдах ?";Безопасность;Невский;Бабушкина ул;ПОС;1
30207;2022-04-18;Нелегальный НТО;Безопасность;Невский;;ПОС;1
30208;2022-04-18;Нелегальный НТО, кража электричества;Безопасность;Невский;;ПОС;1
30209;2022-04-18;"Прошу проверить установку торговОЙ точек. 
Заявление прошу направить в ККИ";Безопасность;Красногвардейский;;ПОС;1
30210;2022-04-18;"Прошу проверить установку торговОЙ точек. 
Заявление прошу направить в ККИ";Безопасность;Красногвардейский;;ПОС;1
30211;2022-04-18;"Прошу проверить установку торговОЙ точек. 
Заявление прошу направить в ККИ";Безопасность;Красногвардейский;;ПОС;1
30212;2022-04-18;"Незаконная торговля со столов.
Заявление прошу направить в ККИ";Безопасность;Невский;;ПОС;1
30213;2022-04-18;"Прошу пресечь незаконную торговлю у метро Дыбенко
Заявление прошу направить в ККИ";Безопасность;Невский;;ПОС;1
30214;2022-04-18;"Прошу пресечь незаконную торговлю у метро Дыбенко
Заявление прошу направить в КОмитет законности";Безопасность;Невский;;ПОС;1
30215;2022-04-18;"На 18 апреля торговля продолжается
Заявление прошу направить в ККИ";Безопасность;Кировский;Стачек пл;ПОС;1
30216;2022-04-18;"На 18 апреля торговля продолжается
Заявление прошу направить в Администрацию Кировского Района Санкт-Петербурга";Безопасность;Кировский;;ПОС;1
30217;2022-04-18;Незаконная торговля с машины кофе;Безопасность;Центральный;;ПОС;1
30218;2022-04-18;"Ежедневно ведётся несогласованная торговля сезонными овощами и фруктами. Полиция бездействует и не реагирует на жалобы по телефону. 
Дата фото 18 апреля 2022";Безопасность;Приморский;;ПОС;1
30219;2022-04-18;Незаконные ларьки, просьба убрать;Безопасность;Калининский;;ПОС;1
30220;2022-04-18;18.04.2022. Торговцы снова на месте;Безопасность;Красносельский;;ПОС;1
30221;2022-04-18;Незаконная торговля;Безопасность;Приморский;;ПОС;1
30222;2022-04-18;А воз и ныне там,сменяются времена года,а торговцев никто не может убрать.Большевиков,21.Уберите уже эту вонь!!;Безопасность;Невский;;ПОС;1
30223;2022-04-18;Необходимо очистить улицу от незаконной торговли по адресу проспект Стачек дом 2, рядом со станцией метро Нарвская;Безопасность;Кировский;;ПОС;1
30224;2022-04-18;Размещение торговой точки несанкционированном месте (на газоне);Безопасность;Московский;;ПОС;1
30236;2022-04-18;На тротуаре вдоль парка им. Бабушкина на всем протяжении от ул. Фарфоровской до Железнодорожного пр. тротуар весь в ямах, выщербинах, кочках. После предыдущей жалобы сделали вид что исправили. На самом деле простой лопатой попытались заделать некоторые ямы, но и это не получилось.;Дороги;Невский;Бабушкина ул;ПОС;1
30237;2022-04-18;Зимой производили работы по вскрытию тротуара из плитки возле трансформаторной станции. Засыпали мусором, не убрали за собой. Плитку просто побросали без основания, без ЦПС! На прилегающем газоне щебень и мусор от произведенных работ. Прилагаю фото с другой стороны. Была ровная плитка. Просим привлечь виновных, восстановить согласно нормативам и убрать территорию ремонта.;Благоустройство;Калининский;;ПОС;1
30238;2022-04-18;Угроза безопасности пешеходов. В ходе проведения работ по благоустройству, образовалась огромная яма на тротуаре. В тёмное время суток это может привести к травмам у пешеходов. Яму не прикрыли, не огородили.;Благоустройство;Красносельский;Героев пр-т;ПОС;1
